"cover","Zone_LN","tsdClass","harvest","area_ha"
"EN","G3","0-10","Récoltes récentes",4750
"EN","G3","0-10","Autres perturbations",6200
"EN","G3","11-20","Récoltes récentes",13625
"EN","G3","11-20","Autres perturbations",11650
"EN","G3","21-40","Autres perturbations",8475
"EN","G3","41-60","Autres perturbations",12200
"EN","G3","61-80","Autres perturbations",14500
"EN","G3","81-100","Autres perturbations",18575
"EN","G3","101 et +","Autres perturbations",34600
"EN","G4","0-10","Récoltes récentes",11975
"EN","G4","0-10","Autres perturbations",12700
"EN","G4","11-20","Récoltes récentes",15750
"EN","G4","11-20","Autres perturbations",52625
"EN","G4","21-40","Autres perturbations",28750
"EN","G4","41-60","Autres perturbations",11600
"EN","G4","61-80","Autres perturbations",38350
"EN","G4","81-100","Autres perturbations",95900
"EN","G4","101 et +","Autres perturbations",81525
"EN","G5","0-10","Récoltes récentes",225
"EN","G5","11-20","Récoltes récentes",5500
"EN","G5","11-20","Autres perturbations",975
"EN","G5","21-40","Autres perturbations",2150
"EN","G5","41-60","Autres perturbations",825
"EN","G5","61-80","Autres perturbations",4850
"EN","G5","81-100","Autres perturbations",9250
"EN","G5","101 et +","Autres perturbations",8075
"EN","G7","0-10","Récoltes récentes",2525
"EN","G7","0-10","Autres perturbations",2225
"EN","G7","11-20","Récoltes récentes",3375
"EN","G7","21-40","Autres perturbations",7075
"EN","G7","41-60","Autres perturbations",650
"EN","G7","61-80","Autres perturbations",3275
"EN","G7","81-100","Autres perturbations",4350
"EN","G7","101 et +","Autres perturbations",10575
"EN","G8","0-10","Récoltes récentes",2550
"EN","G8","0-10","Autres perturbations",25
"EN","G8","11-20","Récoltes récentes",2275
"EN","G8","11-20","Autres perturbations",1825
"EN","G8","21-40","Autres perturbations",15675
"EN","G8","41-60","Autres perturbations",300
"EN","G8","61-80","Autres perturbations",6450
"EN","G8","81-100","Autres perturbations",11450
"EN","G8","101 et +","Autres perturbations",23825
"F","G3","0-10","Autres perturbations",50
"F","G3","11-20","Récoltes récentes",600
"F","G3","11-20","Autres perturbations",1700
"F","G3","21-40","Autres perturbations",975
"F","G3","41-60","Autres perturbations",875
"F","G3","61-80","Autres perturbations",1125
"F","G3","81-100","Autres perturbations",400
"F","G3","101 et +","Autres perturbations",500
"F","G4","0-10","Récoltes récentes",25
"F","G4","0-10","Autres perturbations",50
"F","G4","11-20","Récoltes récentes",925
"F","G4","11-20","Autres perturbations",2725
"F","G4","21-40","Autres perturbations",6200
"F","G4","41-60","Autres perturbations",1125
"F","G4","61-80","Autres perturbations",1375
"F","G4","81-100","Autres perturbations",2675
"F","G4","101 et +","Autres perturbations",1725
"F","G5","11-20","Récoltes récentes",375
"F","G5","11-20","Autres perturbations",175
"F","G5","21-40","Autres perturbations",375
"F","G5","61-80","Autres perturbations",250
"F","G7","0-10","Autres perturbations",100
"F","G7","11-20","Récoltes récentes",1025
"F","G7","21-40","Autres perturbations",1450
"F","G7","41-60","Autres perturbations",25
"F","G7","61-80","Autres perturbations",100
"F","G7","81-100","Autres perturbations",250
"F","G7","101 et +","Autres perturbations",25
"F","G8","11-20","Récoltes récentes",25
"F","G8","11-20","Autres perturbations",25
"F","G8","21-40","Autres perturbations",3700
"F","G8","41-60","Autres perturbations",50
"F","G8","61-80","Autres perturbations",50
"F","G8","81-100","Autres perturbations",775
"F","G8","101 et +","Autres perturbations",225
"PG","G3","0-10","Récoltes récentes",1450
"PG","G3","0-10","Autres perturbations",2500
"PG","G3","11-20","Récoltes récentes",3150
"PG","G3","11-20","Autres perturbations",3600
"PG","G3","21-40","Autres perturbations",9325
"PG","G3","41-60","Autres perturbations",5700
"PG","G3","61-80","Autres perturbations",5825
"PG","G3","81-100","Autres perturbations",3925
"PG","G3","101 et +","Autres perturbations",1075
"PG","G4","0-10","Récoltes récentes",4325
"PG","G4","0-10","Autres perturbations",4150
"PG","G4","11-20","Récoltes récentes",4650
"PG","G4","11-20","Autres perturbations",18425
"PG","G4","21-40","Autres perturbations",44325
"PG","G4","41-60","Autres perturbations",14900
"PG","G4","61-80","Autres perturbations",13400
"PG","G4","81-100","Autres perturbations",24225
"PG","G4","101 et +","Autres perturbations",2250
"PG","G5","0-10","Récoltes récentes",25
