"cover","Zone_LN","tsf","area_ha"
"EN","G3",3,675
"EN","G3",4,150
"EN","G3",5,125
"EN","G3",6,4200
"EN","G3",7,1425
"EN","G3",8,925
"EN","G3",9,1400
"EN","G3",10,2050
"EN","G3",11,1550
"EN","G3",12,950
"EN","G3",13,1950
"EN","G3",14,2575
"EN","G3",15,2250
"EN","G3",16,1250
"EN","G3",17,1275
"EN","G3",18,2225
"EN","G3",19,2750
"EN","G3",20,8500
"EN","G3",21,125
"EN","G3",23,175
"EN","G3",29,750
"EN","G3",30,525
"EN","G3",31,25
"EN","G3",33,5500
"EN","G3",34,150
"EN","G3",40,1225
"EN","G3",45,3650
"EN","G3",48,275
"EN","G3",50,2350
"EN","G3",52,50
"EN","G3",54,3125
"EN","G3",55,2750
"EN","G3",70,7425
"EN","G3",75,375
"EN","G3",76,6700
"EN","G3",90,12075
"EN","G3",96,6500
"EN","G3",120,28100
"EN","G3",140,6500
"EN","G4",3,5075
"EN","G4",4,2650
"EN","G4",5,1400
"EN","G4",6,1250
"EN","G4",7,5350
"EN","G4",8,1850
"EN","G4",9,3925
"EN","G4",10,3175
"EN","G4",11,17175
"EN","G4",12,1800
"EN","G4",13,1025
"EN","G4",14,2325
"EN","G4",15,1850
"EN","G4",16,4450
"EN","G4",17,400
"EN","G4",18,1175
"EN","G4",19,3575
"EN","G4",20,34600
"EN","G4",26,25
"EN","G4",27,25
"EN","G4",28,825
"EN","G4",29,25
"EN","G4",30,7200
"EN","G4",32,200
"EN","G4",33,8850
"EN","G4",35,8575
"EN","G4",38,100
"EN","G4",39,75
"EN","G4",40,2850
"EN","G4",41,150
"EN","G4",45,7100
"EN","G4",50,4250
"EN","G4",52,100
"EN","G4",61,3475
"EN","G4",66,400
"EN","G4",70,27400
"EN","G4",74,5050
"EN","G4",76,2025
"EN","G4",90,68925
"EN","G4",91,25
"EN","G4",96,26950
"EN","G4",120,50000
"EN","G4",140,31525
"EN","G5",6,25
"EN","G5",10,200
"EN","G5",13,375
"EN","G5",14,1000
"EN","G5",15,2075
"EN","G5",16,150
"EN","G5",17,775
"EN","G5",18,325
"EN","G5",19,800
"EN","G5",20,975
"EN","G5",21,200
"EN","G5",22,475
"EN","G5",23,1400
"EN","G5",30,50
"EN","G5",33,25
"EN","G5",45,400
"EN","G5",46,25
"EN","G5",50,400
"EN","G5",70,1275
"EN","G5",71,25
"EN","G5",76,3550
"EN","G5",90,9250
"EN","G5",120,5075
